dir,ret%,maxDD%,trades,geo_monthly%,months,mdd_from_trades%,dd_used%,score
p39_seed131_fee0004_slip0008,74.40542056628531,-1.5594024451014699,107,10.503273803162326,8,3.297675583646953,1.5594024451014699,43.21737166425592
p39_r05_dd0.08_mcl0_lock0_s43,99.62507857813829,-3.2199376879328203,21,14.122663778786471,6,4.670999519840313,3.2199376879328203,35.226324819481874
p39_r05_dd0.08_mcl0_lock10_s43,99.62507857813829,-3.2199376879328203,21,14.122663778786471,6,4.670999519840313,3.2199376879328203,35.226324819481874
p39_r05_dd0.08_mcl0_lock20_s43,99.62507857813829,-3.2199376879328203,21,14.122663778786471,6,4.670999519840313,3.2199376879328203,35.226324819481874
p39_r05_dd0.08_mcl3_lock0_s43,99.62507857813829,-3.2199376879328203,21,14.122663778786471,6,4.670999519840313,3.2199376879328203,35.226324819481874
p39_r05_dd0.08_mcl3_lock10_s43,99.62507857813829,-3.2199376879328203,21,14.122663778786471,6,4.670999519840313,3.2199376879328203,35.226324819481874
p39_r05_dd0.08_mcl3_lock20_s43,99.62507857813829,-3.2199376879328203,21,14.122663778786471,6,4.670999519840313,3.2199376879328203,35.226324819481874
p39_r05_dd0.08_mcl5_lock0_s43,99.62507857813829,-3.2199376879328203,21,14.122663778786471,6,4.670999519840313,3.2199376879328203,35.226324819481874
p39_r05_dd0.08_mcl5_lock10_s43,99.62507857813829,-3.2199376879328203,21,14.122663778786471,6,4.670999519840313,3.2199376879328203,35.226324819481874
p39_r05_dd0.08_mcl5_lock20_s43,99.62507857813829,-3.2199376879328203,21,14.122663778786471,6,4.670999519840313,3.2199376879328203,35.226324819481874
p39_r05_dd08_s99_wfo8,0.81338642255346,-0.18491193417206,19,17.656600604332727,5,0.6813965949128531,0.18491193417206,-2.88485226088774
p39_r05_dd08_s99_wfo5,0.81338642255346,-0.18491193417206,19,17.656600604332727,5,0.6813965949128531,0.18491193417206,-2.88485226088774
p39_r05_dd08_s99_wfo4,0.81338642255346,-0.18491193417206,19,17.656600604332727,5,0.6813965949128531,0.18491193417206,-2.88485226088774
p39_r05_dd08_fee0.0005_slip0.0012_s43,0.39971334566215,-0.26816871941972,13,19.063378155537396,5,12.348702884922048,0.26816871941972,-4.96366104273225
p39_seed131_dd04_broadhours_strict_open_short_fee2xslip2x_dd06,21.4281440508991,-1.8552433493304599,33,16.410273245855024,5,6.510807769794502,1.8552433493304599,-15.676722935710096
p39_r05_dd08_fee0.0006_slip0.0006_s43,139.39652588014718,-8.03589540279795,8,18.484712529255837,4,12.16021403179559,8.03589540279795,-21.321382175811806
p39_r05_dd08_fee0.0005_slip0.0008_s43,6.62675908725813,-2.10543305090861,18,12.564636297428896,6,5.318197301185224,2.10543305090861,-35.48190193091407
p39_r05_dd08_fee0.0003_slip0.0012_s43,4.25923631858058,-2.25996819210777,12,20.76392184244132,4,8.558967625209423,2.25996819210777,-40.940127523574816
p39_r05_dd08_fee0.0005_slip0.0010_s43,4.26007221972102,-2.26042252994159,12,20.769655669948737,4,8.651001338263642,2.26042252994159,-40.94837837911078
p39_r05_dd08_fee0.0003_slip0.0008_s43,110.23383733907957,0.0,8,18.97264568148192,5,8.175016205709241,8.175016205709241,-53.26648677510525
p39_r03_dd0.12_s43,9.11093664138888,-7.0741685547447,5,10.522153923782405,4,0.720372439087158,7.0741685547447,-132.37243445350512
p39_r03_dd0.10_s43,9.11093664138888,-7.0741685547447,5,10.522153923782405,4,0.720372439087158,7.0741685547447,-132.37243445350512
p39_r07_dd06_s21_wfo4,21.26202729402051,-8.92548602976221,8,23.883251966479822,4,4.641825022076573,8.92548602976221,-157.2476933012237
p39_r07_dd06_s21_wfo5,21.26202729402051,-8.92548602976221,8,23.883251966479822,4,4.641825022076573,8.92548602976221,-157.2476933012237
p39_r07_dd06_s21_wfo8,21.26202729402051,-8.92548602976221,8,23.883251966479822,4,4.641825022076573,8.92548602976221,-157.2476933012237
p39_fee0.0005_slip0.0006_s43_wide_strict_open_fee2x,6.461262070404469,-14.613502365118599,96,22.8907480615786,4,2.264474608217837,14.613502365118599,-285.8087852319675
p39_r05_dd08_fee0.0005_slip0.0006_s43,1.985426978759857,-16.71132789867854,93,14.32247533238148,5,2.79159512545446,16.71132789867854,-332.241130994811
p39_dd06_open_long_SPOT_fee5e-4_slip6e-4_s73,61.36602189587783,-24.2537010239428,886,10.484812819809113,9,2.619822499625468,24.2537010239428,-423.7079985829781
p39_r07_dd06_s43_wfo4,2.1531198015696313,-23.95388989487614,89,19.918804162199862,4,4.140182883761911,23.95388989487614,-476.9246780959532
p39_r07_dd06_s43_wfo5,2.1531198015696313,-23.95388989487614,89,19.918804162199862,4,4.140182883761911,23.95388989487614,-476.9246780959532
p39_r07_dd0.08_s43,4.92443804317074,-39.1820977954961,92,31.81323291622199,3,6.3519142360197955,39.1820977954961,-778.7175178667512
p39_r10_dd0.06_s43,3.551772493749779,-50.79196945631842,35,18.5039629717822,4,6.966904341010682,50.79196945631842,-1012.2876166326186
