run,months,trades,total_pnl,avg_month_pnl,avg_month_winrate_%
p24_short_16_20_capacity_risk18,12,253,1103.0826058399996,91.92355048666663,35.133333333333326
p24_short16_capacity_hardCV,15,200,931.9440361099972,62.129602407333145,32.721333333333334
p26_short16_risk20_maxnot60_slip0.0020,12,139,920.2679012199939,76.68899176833283,35.759166666666665
p26_short16_risk20_maxnot60_seed7_hardcv,12,144,910.9707111700016,75.91422593083347,35.6475
p26_short16_risk20_maxnot60_cap015,12,134,898.961144609998,74.91342871749983,33.85
p24_short_16_20_capacity,12,298,894.7844933699963,74.56537444749969,34.619166666666665
p24_short16_coststress_10bp,12,152,868.8605576999919,72.40504647499932,35.193333333333335
p26_short16_risk20_maxnot60_cap012,12,138,830.9119960100128,69.24266633416774,33.905833333333334
p26_short16_risk20_maxnot60_slip0.0015,12,150,814.6792204199941,67.88993503499951,33.494166666666665
p26_short16_risk20_maxnot60_seed11_hardcv,12,163,801.9935923099944,66.8327993591662,32.61833333333333
p25_short16_maxnotional60,12,135,796.4332810000069,66.36944008333391,33.1375
p24_short16_pareto_topk5,12,138,785.3277690199973,65.44398075166644,34.546666666666674
p24_short16_no_regime,12,146,772.6375430300141,64.38646191916784,35.00000000000001
p25_short16_risk20,12,136,770.9178325299872,64.24315271083226,34.705000000000005
p26_short16_20_combo_risk20_maxnot60,12,369,769.4354479999993,64.1196206666666,29.644999999999996
p26_short16_risk20_maxnot60,12,144,746.1598084199967,62.17998403499973,33.62416666666666
p25_short16_ddcap5,12,140,744.7050132699992,62.05875110583327,29.885833333333338
p25_short16_slip15bp,12,143,744.1928416199987,62.01607013499989,31.73833333333334
p25_short16_ddcap3,12,140,736.1370749400031,61.34475624500026,29.885833333333338
p25_short16_risk18,12,146,730.1170142300028,60.8430845191669,35.00000000000001
p25_short16_cap15,12,139,723.1623546699977,60.263529555833145,35.759166666666665
p24_short16_best_min180,12,150,690.224786699986,57.518732224998836,33.494166666666665
p25_short16_risk15,12,151,655.9290681799973,54.660755681666444,33.93666666666667
p24_short16_ddcap3,12,140,651.2053361100025,54.26711134250021,34.43083333333333
p25_short20_check,12,181,623.7334480400089,51.977787336667404,27.924999999999997
p25_short16_slip20bp,12,164,603.6361957299969,50.30301631083307,34.939166666666665
p25_short16_hardcv,12,178,493.75180719999423,41.14598393333285,30.9075
p25_short16_pareto,12,108,453.7378231600017,37.81148526333347,30.1375
p24_short16_capacity_trials600,12,148,443.8165359600044,36.984711330000366,29.801666666666666
p24_short16_closefill,12,145,94.49108652999456,7.87425721083288,32.089166666666664
p25_long_midday_probe,12,601,-719.9214378299988,-59.9934531524999,14.018333333333336
